drug_id,generic_name,molecular_formula,molecular_weight,smiles
223,octatropine methylbromide,C17H32BrNO2,362.3,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-]
1726,methacholine,C8H18NO2+,160.23,CC(C[N+](C)(C)C)OC(=O)C
1744,meticillin,C17H20N2O6S,380.4,CC1(C(N2C(S1)C(C2=O)NC(=O)C3=C(C=CC=C3OC)OC)C(=O)O)C
1748,methohexital,C14H18N2O3,262.30,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C
2524,sulfapyridine,C11H11N3O2S,249.29,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N
3333,meclocycline,C22H21ClN2O8,476.9,CN(C)C1C2C(C3C(=C)C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O
3356,methyltestosterone,C20H30O2,302.5,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C
3408,oxiconazole,C18H13Cl4N3O,429.1,C1=CC(=C(C=C1Cl)Cl)CON=C(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
5401,fostemsavir,C25H26N7O8P,583.5,CC1=NN(C=N1)C2=NC=C(C3=C2N(C=C3C(=O)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5)COP(=O)(O)O)OC
5465,finerenone,C21H22N4O3,378.4,CCOC1=NC=C(C2=C1C(C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C
5406,oliceridine,C22H30N2O2S,386.6,COC1=C(SC=C1)CNCCC2(CCOC3(C2)CCCC3)C4=CC=CC=N4
5414,lonafarnib,C27H31Br2ClN4O2,638.8,C1CN(CCC1CC(=O)N2CCC(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N
40,acebutolol,C18H28N2O4,336.4,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
5439,vericiguat,C19H16F2N8O2,426.4,COC(=O)NC1=C(N=C(N=C1N)C2=NN(C3=C2C=C(C=N3)F)CC4=CC=CC=C4F)N
5446,ponesimod,C23H25ClN2O4S,461.0,CCCN=C1N(C(=O)C(=CC2=CC(=C(C=C2)OCC(CO)O)Cl)S1)C3=CC=CC=C3C
5450,estetrol,C18H24O4,304.4,CC12CCC3C(C1C(C(C2O)O)O)CCC4=C3C=CC(=C4)O
5462,ibrexafungerp,C44H67N5O4,730.0,CC(C)C(C)C1(CCC2(C3CCC4C5(COCC4(C3=CCC2(C1C(=O)O)C)CC(C5OCC(C)(C(C)(C)C)N)N6C(=NC=N6)C7=CC=NC=C7)C)C)C
5507,pacritinib,C28H32N4O3,472.6,C1CCN(C1)CCOC2=C3COCC=CCOCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
5510,oteseconazole,C23H16F7N5O2,527.4,C1=CC(=CC=C1C2=CN=C(C=C2)C(C(CN3C=NN=N3)(C4=C(C=C(C=C4)F)F)O)(F)F)OCC(F)(F)F
5516,tirzepatide,C225H348N48O68,4813,CCC(C)C(C(=O)NC(C)C(=O)NC(CCC(=O)N)C(=O)NC(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCCCC(=O)O)C(=O)NC(C)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NCC(=O)NCC(=O)N4CCCC4C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N5CCCC5C(=O)N6CCCC6C(=O)N7CCCC7C(=O)NC(CO)C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(C)(C)NC(=O)C(C(C)CC)NC(=O)C(CO)NC(=O)C(CC8=CC=C(C=C8)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC9=CC=CC=C9)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC1=CC=C(C=C1)O)N
52,paracetamol,C8H9NO2,151.16,CC(=O)NC1=CC=C(C=C1)O
85,acyclovir,C8H11N5O3,225.20,C1=NC2=C(N1COCCO)N=C(NC2=O)N
88,adefovir dipivoxil,C20H32N5O8P,501.5,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C
114,alfentanil,C21H32N6O3,416.5,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC
2122,phendimetrazine,C12H17NO,191.27,CC1C(OCCN1C)C2=CC=CC=C2
115,alfuzosin,C19H27N5O4,389.4,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
119,aliskiren,C30H53N3O6,551.8,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
128,almotriptan,C17H25N3O2S,335.5,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
129,alosetron,C17H18N4O,294.35,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
136,alprazolam,C17H13ClN4,308.8,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
138,alprostadil,C20H34O5,354.5,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
143,alvimopan,C25H32N2O4,424.5,CC1CN(CCC1(C)C2=CC(=CC=C2)O)CC(CC3=CC=CC=C3)C(=O)NCC(=O)O
158,amiloride,C6H8ClN7O,229.63,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
163,aminocaproic acid,C6H13NO2,131.17,C(CCC(=O)O)CCN
176,amiodarone,C25H29I2NO3,645.3,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
179,amisulpride,C17H27N3O4S,369.5,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
180,amitriptyline,C20H23N,277.4,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
183,amlodipine,C20H25ClN2O5,408.9,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
191,amoxapine,C17H16ClN3O,313.8,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
209,anagrelide,C10H7Cl2N3O,256.08,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3
229,apraclonidine,C9H10Cl2N4,245.11,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
